Topic,Count,Name,Representation,Representative_Docs,count,hate_ratio
31,73,31_troll_ignore_stupid_idiot,"['troll', 'ignore', 'stupid', 'idiot', 'idiotic', 'moron', 'nt', 'consider', 'people', 'trolling']","['I am pretty sure you are a troll .', ""If you really want to change that bad grammar habit , simply practice at home ( or in your work cubicle ) - say out loud `` would have '' , `` should have '' , `` could have '' 100 times a day for each phrase ( yes for a total of 300 times per day ) until it is part of your normal everyday speech ."", ""Until you can explain the meaning of this statement I will consider you to have just outdone every troll that 's been on here .""]",73,0.0410958904109589
19,102,19_idea_goals_work_possible,"['idea', 'goals', 'work', 'possible', 'sounds like', 'sounds', 'accomplished', 'tough', 'like idea', 'good idea']","['Goals??', 'Sounds like a smart idea .', 'But the camellia idea is great .']",102,0.0392156862745098
42,58,42_kids_children_age_child,"['kids', 'children', 'age', 'child', 'baby', 'kid', 'youth', 'younger', 'wife kids', 'ppl']","['They can talk to adults or to kids of any age .', ""I'm 22 years of age and I plan to have 3-4 kids but I do n't feel I can be a father now , I will start have my kids around age 27 ."", 'So do my kids , and they are 4 & 5']",58,0.034482758620689655
0,702,0_looking_pm_meet_live,"['looking', 'pm', 'meet', 'live', 'area', 'im', 'talk', 'email', 'new', 'hi']","['MOPAR88-Again , I live in San Bernardino , send a pm ?', 'Hey Blue email or PM me if you want to chat .', ""hi i have short hair im 5 ' 5 racist as hell im not fat im from mass theres a small group of us out here it 's so hard to new meet people with your believes im just looking to date some one who gets were im coming from are make new friends so if your out there give me a email back 88 heily : explode""]",702,0.029914529914529916
15,124,15_hair_eyes_brown_blue,"['hair', 'eyes', 'brown', 'blue', 'green', 'blue eyes', 'skin', 'color', 'brown eyes', 'green eyes']","['did Hitler not have a policy that only those with blue eyes would have lived ? brown hair was acceptable , only with blue eyes .', 'Brown eyes and Brown hair make you no less white than someone with blonde hair and blue eyes .', 'I myself have extremely pale skin , brown hair and brown eyes but half of my family is blond hair green or blue eyes .']",124,0.024193548387096774
44,56,44_video_videos_watch_watch video,"['video', 'videos', 'watch', 'watch video', 'watched', 'videos like', 'posted', 'watching', 'watched video', 'video posted']","[""I have to walk the dog now but will come back later to watch the video 's that were posted ."", ""Anyone who cannot watch much of this video should AT LEAST watch the last minute and listen to what he 's saying ."", 'I could almost see myself in that video ...']",56,0.017857142857142856
11,152,11_music_band_song_youtube,"['music', 'band', 'song', 'youtube', 'poland', 'songs', 'metal', 'singing', 'listen', 'upper']","['I prefer classical music and marching band works , particularly the kind of score that was written for marching band , not some pop song transcribed to be played by instruments .', 'Truckers Music - YouTube Trucker Song by band Head Hands and Feet ( southern rock I guess ) with lots of beautiful pictures and beautiful women !', 'All there music good .']",152,0.013157894736842105
22,82,22_truth_news_article_lies,"['truth', 'news', 'article', 'lies', 'evidence', 'source', 'claims', 'lie', 'lying', 'quote']","['News', ""Their lies are so thick and many that people do n't see the truth when it is in front of them !"", 'This is not good even though it is the truth .']",82,0.012195121951219513
21,88,21_1488_88_14_16,"['1488', '88', '14', '16', '11', '32', 'feature', 'wpww', 'search', 'ft']","['88 !', '88', '88 !']",88,0.011363636363636364
20,98,20_thread_post_board_mods,"['thread', 'post', 'board', 'mods', 'comment', 'posted', 'forums', 'posts', 'new', 'moderation']","['I hope the mods kill this thread .', 'This thread reminds me of a post from the old board .', 'No more about this in this thread please .']",98,0.01020408163265306
3,304,3_gun_guns_stock_yards,"['gun', 'guns', 'stock', 'yards', 'steel', 'ammo', 'pistol', 'feet', 'martial', 'barrel']","['My point is , that if you have a nice gun that you value , shoot good ammo in it .', 'Great gun though !', ""I have n't been to a gun show in years .""]",304,0.009868421052631578
5,291,5_exactly_true_lol_sad,"['exactly', 'true', 'lol', 'sad', 'hear', 'absolutely', 'good', 'know', 'just', 'nonsense']","['Exactly.', 'Exactly.', 'Exactly.']",291,0.003436426116838488
14,129,14_book_read_books_pdf,"['book', 'read', 'books', 'pdf', 'booklet', 'reading', 'copy', 'download', 'link', 'edition']","['This is my next read .', 'This is my next read .', ""We have read almost all the DR. Seuss book 's , some of them more then once .""]",129,0.0
16,120,16_thanks_thank_posting_good luck,"['thanks', 'thank', 'posting', 'good luck', 'thanks posting', 'luck', 'cheers', 'good', 'welcome', 'thank posting']","['Thanks !', 'Thanks!', 'Thanks .']",120,0.0
18,109,18_site_website_check_page,"['site', 'website', 'check', 'page', 'account', 'facebook', 'link', 'facebook page', 'bookmarked', 'sign']","['Site is back on line .', ""If you 've not had the chance to check it out , you might find this site of some interest ."", 'Also you can check out this website .']",109,0.0
23,82,23_pictures_picture_pics_photos,"['pictures', 'picture', 'pics', 'photos', 'use', 'photo', 'pic', 'click', 'look pictures', 'download']","['Most of these pictures i have never seen before , great to see new pictures of that time .', 'Very great pictures everyone !', 'No pictures yet .']",82,0.0
25,80,25_youtube_youtube youtube_pt_kalispell,"['youtube', 'youtube youtube', 'pt', 'kalispell', 'christmas', 'survival', 'tube', 'new years', 'commercial', 'montana']","['- YouTube', '- YouTube', '[ youtube ] l46t _ nrySg4 [ /youtube ] [ youtube ] ky-zdHMNFNM [ /youtube ]']",80,0.0
26,78,26_stormfront_ple_welcome stormfront_forum,"['stormfront', 'ple', 'welcome stormfront', 'forum', 'devoted', 'solely', 'promoting', 'welcome', 'advanced', 'strategy']","['Welcome to Stormfront .', 'First post on Stormfront .', 'Stormfront .']",78,0.0
36,61,36_period_buster_bump_,"['period', 'buster', 'bump', '', '', '', '', '', '', '']","['Buster', 'Period .', 'Period .']",61,0.0
43,57,43_2508_id_wolf_26155,"['2508', 'id', 'wolf', '26155', 'threadid', '2056', 'pt', 'hope little', 'kelly', 'waterford']","['2508', '2508', '2508']",57,0.0
